netplan.io	1.1.2-7
nettle-dev:amd64	3.10.1-1
openssh-client	1:10.0p1-7+deb13u4
openssh-server	1:10.0p1-7+deb13u4
openssh-sftp-server	1:10.0p1-7+deb13u4
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
ovmf	2025.02-8+deb13u1
passwd	1:4.17.4-2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
pinentry-curses	1.3.1-2
pkg-config:amd64	1.8.1-4
pkgconf:amd64	1.8.1-4
pkgconf-bin	1.8.1-4
po-debconf	1.0.21+nmu1
polkitd	126-2
procps	2:4.0.4-9
psmisc	23.7-2
python-apt-common	3.0.0
python3	3.13.5-1
python3-apt	3.0.0
python3-attr	25.3.0-1
python3-bcrypt	4.2.0-2.1+b1
python3-blinker	1.9.0-1
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:amd64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-configobj	5.0.9-1
python3-cryptography	43.0.0-3+deb13u1
python3-dbus	1.4.0-1
python3-debconf	1.5.91
python3-debian	1.0.1
python3-debianbts	4.1.1
python3-distro	1.9.0-1
python3-distro-info	1.13
python3-idna	3.10-1+deb13u1
python3-jinja2	3.1.6-1
python3-json-pointer	2.4-3
python3-jsonpatch	1.32-5
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-jwt	2.10.1-2+deb13u1
python3-markupsafe	2.1.5-1+b3
python3-minimal	3.13.5-1
python3-netplan	1.1.2-7
python3-oauthlib	3.2.2-3
python3-referencing	0.36.2-1
python3-reportbug	13.2.0
python3-requests	2.32.3+dfsg-5+deb13u1
python3-rpds-py	0.21.0-2+b1
python3-urllib3	2.3.0-3+deb13u2
python3-yaml	6.0.2-1+b2
python3.13	3.13.5-2+deb13u4
python3.13-minimal	3.13.5-2+deb13u4
qemu-system-common	1:10.0.11+ds-0+deb13u1
qemu-system-data	1:10.0.11+ds-0+deb13u1
qemu-system-x86	1:10.0.11+ds-0+deb13u1
qemu-utils	1:10.0.11+ds-0+deb13u1
readline-common	8.2-6
reportbug	13.2.0
rpcsvc-proto	1.4.3-1
rsync	3.4.1+ds1-5+deb13u4
runit-helper	2.16.4
screen	4.9.1-3
seabios	1.16.3-2
sed	4.9-2+deb13u1
sensible-utils	0.0.25
sgml-base	1.31+nmu1
shim-helpers-amd64-signed	1+16.1+2~deb13u1
shim-signed:amd64	1.51~1+deb13u1+16.1-2~deb13u1
shim-signed-common	1.51~1+deb13u1+16.1-2~deb13u1
shim-unsigned:amd64	16.1-2~deb13u1
socat	1.8.0.3-1
squashfs-tools	1:4.6.1-1
sqv	1.3.0-3+b2
ssh-import-id	5.10-3
strace	6.13+ds-1
sudo	1.9.16p2-3+deb13u2
systemd	257.13-1~deb13u1
systemd-resolved	257.13-1~deb13u1
systemd-sysv	257.13-1~deb13u1
systemd-timesyncd	257.13-1~deb13u1
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tcpdump	4.99.5-2
traceroute	1:2.1.6-1
tzdata	2026b-0+deb13u1
ucf	3.0052
udev	257.13-1~deb13u1
unattended-upgrades	2.12
util-linux	2.41.5-0+deb13u1
uuid-runtime	2.41.5-0+deb13u1
vim	2:9.1.1230-2
vim-common	2:9.1.1230-2
vim-runtime	2:9.1.1230-2
vim-tiny	2:9.1.1230-2
wget	1.25.0-2
whiptail	0.52.25-1
xml-core	0.19
xorriso	1.5.6-1.2+b1
xz-utils	5.8.1-1+deb13u1
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.1-1+b1
zstd	1.5.7+dfsg-1
